Client ID,ZIP Code,cluster_name
210100005,4100,Occasional Customers
210100012,4050,Low-Value Customers
210100033,4300,Occasional Customers
210100051,4465,Medium-Value Customers
210100096,4100,High-Value Customers
210100160,4100,Occasional Customers
210100167,4200,High-Value Customers
210100182,4050,Occasional Customers
210100213,4570,High-Value Customers
210100239,4515,High-Value Customers
210100254,4150,High-Value Customers
210100263,4425,Medium-Value Customers
210100281,4400,High-Value Customers
210100314,4150,High-Value Customers
210100319,4490,Low-Value Customers
210100349,2485,Low-Value Customers
210100362,4480,High-Value Customers
210100369,4000,Low-Value Customers
210100374,4515,Medium-Value Customers
210100410,4485,High-Value Customers
210100424,4050,High-Value Customers
210100455,4400,Occasional Customers
210100458,4450,High-Value Customers
210100460,4150,High-Value Customers
210100474,4300,Medium-Value Customers
210100477,4150,Medium-Value Customers
210100489,4200,High-Value Customers
210100500,4100,Low-Value Customers
210100505,4400,Occasional Customers
210100545,4200,Low-Value Customers
210100673,4450,Occasional Customers
210100674,4505,Medium-Value Customers
210100675,4505,High-Value Customers
210100701,4485,High-Value Customers
210100727,4050,Occasional Customers
210100738,4050,Occasional Customers
210100742,4490,Occasional Customers
210100776,1100,Low-Value Customers
210100804,4470,High-Value Customers
210100848,4435,Low-Value Customers
210100852,4490,Low-Value Customers
210100861,4400,High-Value Customers
210100877,4400,Low-Value Customers
210100888,4100,High-Value Customers
210100916,4400,Occasional Customers
210100928,4490,Low-Value Customers
210100939,4000,High-Value Customers
210100970,4050,Occasional Customers
210101007,4150,Low-Value Customers
210101017,4435,Medium-Value Customers
210101041,4400,Low-Value Customers
210101057,4350,Medium-Value Customers
210101146,4300,Medium-Value Customers
210101149,4049,Medium-Value Customers
210101214,4465,Medium-Value Customers
210101219,4450,High-Value Customers
210101223,4470,Occasional Customers
210101257,4050,High-Value Customers
210101274,4350,Medium-Value Customers
210101285,4000,Occasional Customers
210101290,4450,High-Value Customers
210101320,4150,Medium-Value Customers
210101342,4450,Medium-Value Customers
210101346,4200,Low-Value Customers
210101388,4400,Occasional Customers
210101443,4760,High-Value Customers
210101488,4485,Low-Value Customers
210101502,4050,Low-Value Customers
210101521,4410,Medium-Value Customers
210101523,2414,Low-Value Customers
210101529,4350,Medium-Value Customers
210101534,4400,Low-Value Customers
210101550,4100,Occasional Customers
210101574,4400,High-Value Customers
210101588,4050,High-Value Customers
210101628,4100,Medium-Value Customers
210101629,4465,Medium-Value Customers
210101632,4465,High-Value Customers
210101636,4200,Occasional Customers
210101642,4050,Occasional Customers
210101644,4050,Medium-Value Customers
210101659,4470,High-Value Customers
210101666,4050,High-Value Customers
210101668,4000,Medium-Value Customers
210101669,4200,High-Value Customers
210101678,4760,Medium-Value Customers
210101681,4100,Medium-Value Customers
210101707,4150,High-Value Customers
210101735,3800,Occasional Customers
210101746,4490,High-Value Customers
210101774,4100,Occasional Customers
210101779,4760,High-Value Customers
210101784,4050,High-Value Customers
210101817,4150,High-Value Customers
210101818,4050,Medium-Value Customers
210101821,4100,Medium-Value Customers
210101843,4100,High-Value Customers
210101851,4460,Medium-Value Customers
210101859,4400,Occasional Customers
210101867,4460,High-Value Customers
210101868,4430,High-Value Customers
210101873,4485,High-Value Customers
210101891,4000,Occasional Customers
210101898,4760,High-Value Customers
210101944,4150,Medium-Value Customers
210101946,3700,High-Value Customers
210101961,4420,Medium-Value Customers
210101963,4200,Medium-Value Customers
210101967,4740,Occasional Customers
210101974,4050,Occasional Customers
210102001,4150,Medium-Value Customers
210102014,4000,Occasional Customers
210102042,4100,High-Value Customers
210102047,4760,Medium-Value Customers
210102058,4450,High-Value Customers
210102063,4450,High-Value Customers
210102065,4450,High-Value Customers
210102067,4450,High-Value Customers
210102074,4450,Medium-Value Customers
210102075,4430,High-Value Customers
210102076,4450,Medium-Value Customers
210102103,4445,High-Value Customers
210102104,4000,Occasional Customers
210102107,4580,High-Value Customers
210102108,4740,High-Value Customers
210102120,4050,High-Value Customers
210102123,4050,Medium-Value Customers
210102135,4050,Occasional Customers
210102138,4465,High-Value Customers
210102139,4490,High-Value Customers
210102170,4740,High-Value Customers
210102175,4150,High-Value Customers
210102196,4760,Medium-Value Customers
210102248,4000,Medium-Value Customers
210102249,4825,Low-Value Customers
210102259,4450,Medium-Value Customers
210102310,4450,Occasional Customers
210102323,4490,High-Value Customers
210102326,4200,Medium-Value Customers
210102359,4000,Low-Value Customers
210102371,4200,Medium-Value Customers
210102384,4450,Occasional Customers
210102392,4150,High-Value Customers
210102402,4300,Medium-Value Customers
210102406,4455,Medium-Value Customers
210102413,4050,Medium-Value Customers
210102414,4760,Medium-Value Customers
210102441,4450,High-Value Customers
210102450,4400,High-Value Customers
210102461,4350,Medium-Value Customers
210102462,4300,Medium-Value Customers
210102463,4300,Medium-Value Customers
210102472,4100,Medium-Value Customers
210102477,4000,High-Value Customers
210102488,4475,Medium-Value Customers
210102517,4050,High-Value Customers
210102543,4465,Medium-Value Customers
210102576,4100,Medium-Value Customers
210102600,4350,High-Value Customers
210102621,4440,Low-Value Customers
210102627,4455,High-Value Customers
210102638,4465,High-Value Customers
210102642,4200,Low-Value Customers
210102648,3700,Medium-Value Customers
210102665,4470,Medium-Value Customers
210102672,4470,Occasional Customers
210102681,4000,Low-Value Customers
210102689,4470,Medium-Value Customers
210102710,4470,Medium-Value Customers
210102724,4450,High-Value Customers
210102737,4450,High-Value Customers
210102746,1349,Low-Value Customers
210102747,4460,Low-Value Customers
210102750,4150,Low-Value Customers
210102757,4460,Occasional Customers
210102758,2610,High-Value Customers
210102767,4470,Medium-Value Customers
210102770,4250,High-Value Customers
210102771,4465,Medium-Value Customers
210102791,4465,High-Value Customers
210102794,4400,Medium-Value Customers
210102809,4150,High-Value Customers
210102816,4405,Occasional Customers
210102835,2665,Medium-Value Customers
210102839,4200,High-Value Customers
210102840,4050,Low-Value Customers
210102841,4050,Low-Value Customers
210102848,4490,High-Value Customers
210102853,4150,High-Value Customers
210102861,4100,High-Value Customers
210102862,4100,Medium-Value Customers
210102866,4150,Medium-Value Customers
210102867,4150,Occasional Customers
210102870,4740,High-Value Customers
210102876,4740,Occasional Customers
210102903,4050,Low-Value Customers
210102904,4050,High-Value Customers
210102913,4435,Occasional Customers
210102925,4450,Medium-Value Customers
210102956,4050,Low-Value Customers
210102965,4100,High-Value Customers
210102966,4560,High-Value Customers
210102968,4450,High-Value Customers
210102973,4450,High-Value Customers
210102979,4435,High-Value Customers
210102992,4150,Medium-Value Customers
210102993,4415,Occasional Customers
210103015,4000,Medium-Value Customers
210103022,4050,Low-Value Customers
210103023,4150,Medium-Value Customers
210103024,4000,High-Value Customers
210103032,4400,High-Value Customers
210103033,4400,High-Value Customers
210103037,4400,Low-Value Customers
210103039,4300,Low-Value Customers
210103041,4740,Occasional Customers
210103045,4470,Medium-Value Customers
210103046,4430,Medium-Value Customers
210103050,4415,High-Value Customers
210103051,4510,Low-Value Customers
210103056,4050,High-Value Customers
210103060,4430,High-Value Customers
210103096,4465,Low-Value Customers
210103102,4420,Medium-Value Customers
210103107,4450,Medium-Value Customers
210103114,4250,High-Value Customers
210103116,3700,High-Value Customers
210103121,4300,Medium-Value Customers
210103126,4470,Medium-Value Customers
210103127,4420,High-Value Customers
210103129,4050,Occasional Customers
210103140,4050,Occasional Customers
210103141,4050,High-Value Customers
210103142,4050,High-Value Customers
210103143,4050,High-Value Customers
210103144,4050,Low-Value Customers
210103145,4050,Low-Value Customers
210103146,4050,Medium-Value Customers
210103163,4050,Low-Value Customers
210103164,4050,High-Value Customers
210103165,4050,Low-Value Customers
210103166,4050,High-Value Customers
210103175,4050,Low-Value Customers
210103178,4050,Medium-Value Customers
210103180,4050,Occasional Customers
210103184,4050,Low-Value Customers
210103185,4050,Medium-Value Customers
210103186,4050,High-Value Customers
210103188,4050,Low-Value Customers
210103203,4050,Low-Value Customers
210103206,4050,High-Value Customers
210103214,4435,Low-Value Customers
210103231,4404,High-Value Customers
210103249,4445,High-Value Customers
210103255,4050,High-Value Customers
210103263,4455,High-Value Customers
210103270,4490,High-Value Customers
210103283,4000,Low-Value Customers
210103286,4050,High-Value Customers
210103294,4450,High-Value Customers
210103295,4450,High-Value Customers
210103301,4400,Medium-Value Customers
210103306,4150,High-Value Customers
210103316,4480,High-Value Customers
210103325,4450,High-Value Customers
210103327,4000,Medium-Value Customers
210103341,4150,Medium-Value Customers
210103353,4100,High-Value Customers
210103356,4100,High-Value Customers
210103357,4100,High-Value Customers
210103360,4050,Low-Value Customers
210103361,4050,High-Value Customers
210103363,4050,Low-Value Customers
210103364,4050,Low-Value Customers
210103366,4050,Medium-Value Customers
210103367,4050,Low-Value Customers
210103369,4050,Low-Value Customers
210103380,4050,Medium-Value Customers
210103381,4050,High-Value Customers
210103392,4050,Low-Value Customers
210103396,4050,Medium-Value Customers
210103401,4050,Medium-Value Customers
210103402,4050,Low-Value Customers
210103403,4050,High-Value Customers
210103406,4050,Low-Value Customers
210103421,4050,Low-Value Customers
210103422,4050,Low-Value Customers
210103423,4050,Low-Value Customers
210103425,4050,High-Value Customers
210103442,4450,Medium-Value Customers
210103452,4400,Medium-Value Customers
210103461,4050,Low-Value Customers
210103463,4100,High-Value Customers
210103488,4050,Low-Value Customers
210103497,4050,Low-Value Customers
210103505,4785,High-Value Customers
210103509,4300,High-Value Customers
210103514,4570,Medium-Value Customers
210103526,4400,High-Value Customers
210103535,4410,High-Value Customers
210103542,4400,Occasional Customers
210103545,4150,High-Value Customers
210103554,3810,Occasional Customers
210103555,4500,Occasional Customers
210103562,2420,Low-Value Customers
210103569,4470,High-Value Customers
210103570,4000,High-Value Customers
210103573,4050,Low-Value Customers
210103577,4000,High-Value Customers
210103579,4050,High-Value Customers
210103581,4250,Low-Value Customers
210103582,4450,Occasional Customers
210103588,4470,High-Value Customers
210103589,2665,Low-Value Customers
210103593,4450,Low-Value Customers
210103595,4475,Occasional Customers
210103604,4490,High-Value Customers
210103609,4490,High-Value Customers
210103614,4460,Occasional Customers
210103615,4000,Occasional Customers
210103616,4350,Occasional Customers
210103618,4435,Occasional Customers
210103619,4400,Occasional Customers
210103620,4450,Occasional Customers
210103621,4400,High-Value Customers
210103627,4050,High-Value Customers
210103630,4450,Occasional Customers
210103632,4490,High-Value Customers
210103638,4200,High-Value Customers
210103640,4435,Occasional Customers
210103644,4150,Occasional Customers
210103645,4050,Low-Value Customers
210103648,4050,Low-Value Customers
210103649,4050,Low-Value Customers
210103651,4050,High-Value Customers
210103658,4050,High-Value Customers
210103659,4050,Low-Value Customers
210103660,4050,Low-Value Customers
210103661,4050,Medium-Value Customers
210103662,4050,Occasional Customers
210103664,4050,Low-Value Customers
210103665,4050,High-Value Customers
210103666,5040,Low-Value Customers
210103668,4050,Low-Value Customers
210103669,4050,Low-Value Customers
210103671,4050,Medium-Value Customers
210103673,4050,Low-Value Customers
210103674,4050,Medium-Value Customers
210103677,4050,Low-Value Customers
210103678,4050,High-Value Customers
210103679,4050,Low-Value Customers
210103681,4050,Low-Value Customers
210103682,4050,Low-Value Customers
210103687,4425,Low-Value Customers
210103689,4560,High-Value Customers
210103706,4000,High-Value Customers
210103707,4050,Low-Value Customers
210103708,4050,Low-Value Customers
210103715,4785,High-Value Customers
210103732,4430,High-Value Customers
210103738,4740,High-Value Customers
210103739,4000,Medium-Value Customers
210103744,4535,High-Value Customers
210103747,4535,Occasional Customers
210103748,4535,High-Value Customers
210103751,4760,High-Value Customers
210103757,4450,High-Value Customers
210103758,4450,Occasional Customers
210103770,4050,Low-Value Customers
210103771,4000,High-Value Customers
210103776,4455,Low-Value Customers
210103778,4430,Medium-Value Customers
210103781,4590,Low-Value Customers
210103783,4050,Occasional Customers
210103792,4000,Medium-Value Customers
210103796,4150,High-Value Customers
210103798,4000,Medium-Value Customers
210103801,4420,Medium-Value Customers
210103804,4150,High-Value Customers
210103805,4050,High-Value Customers
210103816,4760,Occasional Customers
210103819,4470,High-Value Customers
210103824,4445,Low-Value Customers
210103828,4740,High-Value Customers
210103830,4455,Occasional Customers
210103835,4050,Medium-Value Customers
210103836,4050,Medium-Value Customers
210103845,4050,Low-Value Customers
210103846,4050,Low-Value Customers
210103847,4050,Medium-Value Customers
210103848,4050,Medium-Value Customers
210103849,4050,Low-Value Customers
210103867,4050,Low-Value Customers
210103868,4050,Low-Value Customers
210103869,4050,Medium-Value Customers
210103870,4050,Medium-Value Customers
210103878,4050,Low-Value Customers
210103879,4050,Low-Value Customers
210103880,4050,Low-Value Customers
210103881,4050,Medium-Value Customers
210103882,4050,Medium-Value Customers
210103883,4050,Low-Value Customers
210103887,4050,High-Value Customers
210103888,4050,Medium-Value Customers
210103889,4050,Low-Value Customers
210103899,4050,Low-Value Customers
210103901,4050,Medium-Value Customers
210103902,4050,Medium-Value Customers
210103903,4050,Low-Value Customers
210103907,4050,Low-Value Customers
210103908,4050,Low-Value Customers
210103909,4050,Medium-Value Customers
210103910,4050,Medium-Value Customers
210103912,4050,High-Value Customers
210103913,4050,Low-Value Customers
210103914,4050,Low-Value Customers
210103915,4050,Medium-Value Customers
210103916,4050,Occasional Customers
210103918,4050,Low-Value Customers
210103919,4050,High-Value Customers
210103920,4050,Low-Value Customers
210103922,4050,Low-Value Customers
210103923,4050,Low-Value Customers
210103930,4050,Medium-Value Customers
210103931,4050,Medium-Value Customers
210103936,4450,High-Value Customers
210103937,4430,High-Value Customers
210103944,4400,High-Value Customers
210103950,4465,Occasional Customers
210103951,4425,High-Value Customers
210103952,4485,Medium-Value Customers
210103953,4440,Occasional Customers
210103954,4440,Medium-Value Customers
210103960,4700,Occasional Customers
210103965,4050,Low-Value Customers
210103969,4000,High-Value Customers
210103973,4885,High-Value Customers
210103990,4404,High-Value Customers
210103991,4400,High-Value Customers
210103993,4050,High-Value Customers
210103998,4520,Low-Value Customers
210103999,4200,Medium-Value Customers
210104000,4425,Occasional Customers
210104009,3830,Occasional Customers
210104010,4520,Occasional Customers
210104022,4425,Occasional Customers
210104026,4590,High-Value Customers
210104027,4475,Low-Value Customers
210104038,4440,Low-Value Customers
210104040,3460,Low-Value Customers
210104044,4000,Medium-Value Customers
210104048,4404,Occasional Customers
210104052,4150,High-Value Customers
210104053,4495,High-Value Customers
210104056,4000,High-Value Customers
210104057,4785,Low-Value Customers
210104058,4710,Occasional Customers
210104059,4760,Occasional Customers
210104060,4450,High-Value Customers
210104071,4560,Occasional Customers
210104074,4800,Low-Value Customers
210104075,4810,Low-Value Customers
210104076,4810,Occasional Customers
210104077,4635,Occasional Customers
210104078,4490,Occasional Customers
210104079,4715,Occasional Customers
210104081,4740,Low-Value Customers
210104082,3885,Low-Value Customers
210104083,4815,Occasional Customers
210104084,4730,Low-Value Customers
210104087,4710,Occasional Customers
210104088,4800,Low-Value Customers
210104089,4500,Occasional Customers
210104090,4435,Low-Value Customers
210104092,4765,Low-Value Customers
210104096,4575,Medium-Value Customers
210104099,4560,Occasional Customers
210104104,4560,Occasional Customers
210104112,4000,Low-Value Customers
210104113,4000,Medium-Value Customers
210104114,4000,Low-Value Customers
210104118,4805,Occasional Customers
210104119,4350,Occasional Customers
210104121,4400,High-Value Customers
210104122,4050,High-Value Customers
210104125,4100,Medium-Value Customers
210104126,4400,High-Value Customers
210104134,4250,High-Value Customers
210104135,3700,Medium-Value Customers
210104141,4560,High-Value Customers
210104143,4900,Occasional Customers
210104144,4200,Low-Value Customers
210104151,4300,Low-Value Customers
210104156,4560,Occasional Customers
210104157,4835,Medium-Value Customers
210104159,4200,High-Value Customers
210104160,4000,Medium-Value Customers
210104162,4400,Low-Value Customers
210104163,4350,High-Value Customers
210104164,4150,High-Value Customers
210104165,4050,Occasional Customers
210104167,4250,Low-Value Customers
210104168,4560,Low-Value Customers
210104169,4610,Low-Value Customers
210104170,5000,Low-Value Customers
210104171,4590,Low-Value Customers
210104172,4750,Low-Value Customers
210104173,4470,Occasional Customers
210104175,3720,Low-Value Customers
210104176,5370,Low-Value Customers
210104177,5400,Low-Value Customers
210104178,3840,Occasional Customers
210104179,5100,Occasional Customers
210104180,4935,Low-Value Customers
210104182,5400,Occasional Customers
210104185,3840,Medium-Value Customers
210104186,3750,Low-Value Customers
210104187,4990,Low-Value Customers
210104188,5000,Low-Value Customers
210104189,4435,Low-Value Customers
210104190,4990,Low-Value Customers
210104191,4820,Occasional Customers
210104195,5400,Low-Value Customers
210104196,3500,Low-Value Customers
210104199,3880,High-Value Customers
210104200,3880,Low-Value Customers
210104206,3830,Occasional Customers
210104211,4485,High-Value Customers
210104213,4050,Low-Value Customers
210104214,5400,High-Value Customers
210104221,4100,Medium-Value Customers
210104225,4400,High-Value Customers
210104226,4400,High-Value Customers
210104228,4050,High-Value Customers
210104232,4490,High-Value Customers
210104235,4050,Low-Value Customers
210104239,4560,Occasional Customers
210104240,4450,High-Value Customers
210104241,4435,High-Value Customers
210104246,4485,Occasional Customers
210104248,4420,Low-Value Customers
210104252,4050,High-Value Customers
210104253,4050,Low-Value Customers
210104254,4050,Low-Value Customers
210104255,4050,Medium-Value Customers
210104256,4050,Low-Value Customers
210104260,4050,High-Value Customers
210104261,4050,Low-Value Customers
210104263,4050,Low-Value Customers
210104264,4050,Low-Value Customers
210104265,4050,Low-Value Customers
210104266,4050,Low-Value Customers
210104268,4050,High-Value Customers
210104269,4050,Medium-Value Customers
210104270,4050,High-Value Customers
210104273,4050,Low-Value Customers
210104276,4050,Low-Value Customers
210104277,4050,High-Value Customers
210104280,4050,Low-Value Customers
210104281,4050,Low-Value Customers
210104283,4050,Low-Value Customers
210104285,4050,Medium-Value Customers
210104286,4050,Medium-Value Customers
210104287,4050,Medium-Value Customers
210104289,4050,Occasional Customers
210104291,4970,Low-Value Customers
210104296,4050,Low-Value Customers
210104299,4515,High-Value Customers
210104304,4430,High-Value Customers
210104310,3880,Low-Value Customers
210104311,3500,Occasional Customers
210104312,3500,Occasional Customers
210104313,3510,Low-Value Customers
210104314,5370,Low-Value Customers
210104316,4811,Low-Value Customers
210104317,4050,Medium-Value Customers
210104319,4560,High-Value Customers
210104326,4400,Occasional Customers
210104330,4450,High-Value Customers
210104331,4460,High-Value Customers
210104337,4100,Low-Value Customers
210104342,4470,Low-Value Customers
210104344,4990,Occasional Customers
210104345,4430,High-Value Customers
210104348,4000,Medium-Value Customers
210104352,4000,Medium-Value Customers
210104363,4000,Low-Value Customers
210104365,4100,Medium-Value Customers
210104369,4780,High-Value Customers
210104370,4050,High-Value Customers
210104376,4904,High-Value Customers
210104379,4800,High-Value Customers
210104380,4490,High-Value Customers
210104384,4455,High-Value Customers
210104389,4480,Low-Value Customers
210104390,4835,Occasional Customers
210104392,4740,High-Value Customers
210104395,4000,High-Value Customers
210104398,4490,High-Value Customers
210104399,4425,Occasional Customers
210104405,4435,High-Value Customers
210104406,4510,Occasional Customers
210104407,4460,High-Value Customers
210104408,4000,High-Value Customers
210104409,4465,Medium-Value Customers
210104410,4420,Medium-Value Customers
210104415,4435,Occasional Customers
210104421,4510,Low-Value Customers
210104422,4435,Occasional Customers
210104424,4400,Low-Value Customers
210104427,4470,High-Value Customers
210104428,4150,Medium-Value Customers
210104430,4400,Occasional Customers
210104431,4300,Occasional Customers
210104432,4200,Occasional Customers
210104434,4200,Occasional Customers
210104435,4450,Occasional Customers
210104439,4715,High-Value Customers
210104441,4405,Occasional Customers
210104443,4000,Low-Value Customers
210104444,4150,Occasional Customers
210104445,4400,Medium-Value Customers
210104446,4100,Occasional Customers
210104452,4510,Low-Value Customers
210104454,4445,Low-Value Customers
210104455,4450,Occasional Customers
210104459,4460,High-Value Customers
210104461,4445,Low-Value Customers
210104463,6300,Occasional Customers
210104464,4770,Low-Value Customers
210104466,6420,Occasional Customers
210104467,4149,High-Value Customers
210104472,4050,Medium-Value Customers
210104473,4445,High-Value Customers
210104474,4050,Medium-Value Customers
210104477,4000,High-Value Customers
210104480,4400,High-Value Customers
210104488,4050,High-Value Customers
210104497,4100,Occasional Customers
210104500,4400,High-Value Customers
210104512,4100,High-Value Customers
210104515,4000,High-Value Customers
210104516,4580,Occasional Customers
210104519,4510,Low-Value Customers
210104521,4050,Medium-Value Customers
210104522,5085,Occasional Customers
210104524,4480,High-Value Customers
210104525,4435,Low-Value Customers
210104529,4485,Low-Value Customers
210104530,4430,Occasional Customers
210104532,4000,High-Value Customers
210104536,4480,Medium-Value Customers
210104537,4480,Low-Value Customers
210104539,4485,Medium-Value Customers
210104541,4480,Medium-Value Customers
210104542,4480,High-Value Customers
210104543,4480,Medium-Value Customers
210104545,4480,Medium-Value Customers
210104547,4480,Medium-Value Customers
210104548,4485,Medium-Value Customers
210104553,4495,Medium-Value Customers
210104554,4495,Medium-Value Customers
210104555,4495,Medium-Value Customers
210104561,4535,High-Value Customers
210104562,4505,High-Value Customers
210104563,4535,High-Value Customers
210104575,4475,Low-Value Customers
210104576,4450,Medium-Value Customers
210104586,4485,Occasional Customers
210104588,4150,Low-Value Customers
210104591,4430,Medium-Value Customers
210104592,4470,Low-Value Customers
210104597,4470,High-Value Customers
210104599,4050,High-Value Customers
210104600,4470,High-Value Customers
210104601,4470,Medium-Value Customers
210104602,4470,Medium-Value Customers
210104603,4470,Medium-Value Customers
210104604,4470,High-Value Customers
210104607,4420,Medium-Value Customers
210104611,4000,Medium-Value Customers
210104618,4400,High-Value Customers
210104622,4050,Medium-Value Customers
210104623,4050,Low-Value Customers
210104625,4050,Occasional Customers
210104626,4050,Low-Value Customers
210104627,4050,High-Value Customers
210104628,4150,Occasional Customers
210104634,4435,High-Value Customers
210104639,4505,High-Value Customers
210104643,4425,Low-Value Customers
210104645,4100,Low-Value Customers
210104668,4100,Occasional Customers
210104669,4400,Occasional Customers
210104670,4400,Occasional Customers
210104671,4575,Medium-Value Customers
210104684,3880,Low-Value Customers
210104685,3880,Low-Value Customers
210104686,3880,Low-Value Customers
210104688,4460,High-Value Customers
210104696,4450,Low-Value Customers
210104697,4710,Low-Value Customers
210104698,4835,Low-Value Customers
210104700,4590,High-Value Customers
210104701,4575,Medium-Value Customers
210104702,4575,Medium-Value Customers
210104721,4490,High-Value Customers
210104722,4710,Low-Value Customers
210104723,4460,Low-Value Customers
210104725,4250,Occasional Customers
210104734,4475,Medium-Value Customers
210104752,4100,Occasional Customers
210104753,4400,High-Value Customers
210104766,4490,High-Value Customers
210104778,4050,High-Value Customers
210104800,4455,High-Value Customers
210104801,4710,Occasional Customers
210104802,4404,Occasional Customers
210104803,4000,Occasional Customers
210104804,4835,Medium-Value Customers
210104805,4400,Medium-Value Customers
210104806,3700,Medium-Value Customers
210104807,4425,Medium-Value Customers
210104808,4700,Occasional Customers
210104809,4435,Medium-Value Customers
210104810,4835,Medium-Value Customers
210104811,4350,Medium-Value Customers
210104812,4464,Medium-Value Customers
210104813,4485,Medium-Value Customers
210104814,4000,High-Value Customers
210104815,4435,Low-Value Customers
210104817,4430,High-Value Customers
210104818,4785,High-Value Customers
210104820,4000,Medium-Value Customers
210104821,3880,Low-Value Customers
210104822,4520,Low-Value Customers
210104823,4400,Low-Value Customers
210104824,3800,Low-Value Customers
210104826,3810,Low-Value Customers
210104828,4435,Low-Value Customers
210104829,4200,Low-Value Customers
210104830,4404,Low-Value Customers
210104840,4200,Low-Value Customers
210104849,4430,Low-Value Customers
210104854,4400,Occasional Customers
210104857,4400,High-Value Customers
210104860,4400,Medium-Value Customers
210104861,4400,Medium-Value Customers
210104866,4510,Medium-Value Customers
210104870,4000,Medium-Value Customers
210104873,4470,Medium-Value Customers
210104885,3460,Occasional Customers
210104886,4400,Low-Value Customers
210104888,4430,Low-Value Customers
210104892,4400,Occasional Customers
210104898,4050,High-Value Customers
210104901,4410,High-Value Customers
210104904,4050,High-Value Customers
210104905,4050,High-Value Customers
210104913,4460,Medium-Value Customers
210104921,4520,Occasional Customers
210104927,4050,High-Value Customers
210104930,4490,Medium-Value Customers
