Client ID,ZIP Code,ID Client Type
210100002,4049,
210100003,4000,
210100004,4149,
210100006,4405,
210100007,4400,
210100008,4100,
210100010,4560,
210100011,4050,
210100013,4100,
210100014,4420,
210100015,4150,
210100016,4400,
210100017,4100,
210100018,4150,
210100019,4430,
210100020,4400,
210100021,4520,
210100022,4150,
210100023,4460,
210100024,4420,
210100025,4450,
210100026,4445,
210100027,4100,
210100028,4000,
210100030,4150,
210100031,4050,
210100032,4435,
210100034,4150,
210100036,4100,
210100037,4405,
210100038,4150,
210100039,4400,
210100040,4470,
210100041,4470,
210100042,4425,
210100043,4470,
210100044,4149,
210100045,4050,Hotelaria
210100046,4470,
210100047,4149,
210100048,4100,
210100049,4100,
210100050,4450,
210100052,4150,
210100053,4050,
210100054,4000,
210100055,4150,
210100056,4100,
210100057,4150,
210100058,4450,
210100059,4000,
210100060,4050,
210100061,4450,
210100062,4450,
210100063,4470,
210100064,4460,
210100065,4050,
210100066,4150,
210100067,4300,
210100068,4300,
210100069,4100,
210100070,4149,
210100071,2700,
210100072,4470,
210100073,4450,
210100074,4350,
210100075,4250,
210100076,4460,
210100077,4000,
210100080,1150,
210100081,4175,
210100082,4000,
210100083,4000,
210100084,4150,
210100085,4050,
210100086,4000,
210100087,4455,
210100088,4150,
210100089,4400,
210100090,4150,
210100091,4050,
210100092,4460,
210100093,4000,
210100094,4100,
210100095,4150,
210100097,4150,
210100098,4150,
210100099,4400,
210100100,1749,
210100101,1749,
210100102,1749,
210100103,1749,
210100104,1749,
210100105,1749,
210100106,1749,
210100107,1749,
210100108,1749,
210100109,1749,
210100110,1749,
210100111,1749,
210100112,1749,
210100113,1749,
210100114,1749,
210100115,1749,
210100116,1749,
210100117,1749,
210100118,1749,
210100119,1749,
210100120,1749,
210100121,1749,
210100122,1749,
210100123,1749,
210100124,1749,
210100125,1749,
210100126,1749,
210100127,1749,
210100128,1749,
210100129,1749,
210100130,1749,
210100131,1749,
210100132,1749,
210100133,1749,
210100134,1749,
210100135,1749,
210100136,1749,
210100137,1749,
210100138,1749,
210100139,1749,
210100140,1749,
210100141,1749,
210100142,1749,
210100143,1749,
210100144,1749,
210100145,1749,
210100146,1749,
210100147,1749,
210100148,1749,
210100149,1749,
210100150,1749,
210100151,1749,
210100152,1749,
210100153,1749,
210100154,1749,
210100155,4405,
210100156,1749,
210100157,1749,
210100158,1749,
210100159,1749,
210100161,4150,
210100162,4150,
210100163,4150,
210100164,4050,
210100165,4200,
210100166,4200,
210100168,4200,
210100169,4050,
210100170,4100,
210100171,4785,
210100172,4460,
210100173,4460,
210100174,4250,
210100175,4425,
210100176,1749,
210100177,4405,
210100178,4405,
210100179,4405,
210100180,4405,
210100181,4405,
210100183,1749,
210100184,1749,
210100185,4250,
210100186,4100,
210100187,4250,
210100188,4150,
210100189,4250,
210100190,4250,
210100191,4050,
210100192,4515,
210100193,4405,
210100194,4150,
210100195,4150,
210100196,4150,
210100197,4150,
210100198,4150,
210100199,4150,
210100200,4250,
210100201,4470,
210100202,4150,
210100203,4000,
210100204,4150,
210100205,4000,
210100206,4250,
210100207,4465,
210100208,4485,
210100209,4250,
210100210,4490,
210100211,4490,
210100212,1749,
210100214,4490,
210100215,4490,
210100216,4490,
210100217,1749,
210100218,1749,
210100219,4100,
210100220,1749,
210100221,1749,
210100222,4760,
210100223,4485,
210100224,4480,
210100225,1749,
210100226,4740,
210100227,4480,
210100228,4480,
210100229,4480,
210100230,4480,
210100231,4490,
210100232,4480,
210100233,4490,
210100234,4495,
210100235,4785,
210100236,4470,
210100237,3000,
210100238,4445,
210100240,1749,
210100241,1749,
210100242,1749,
210100243,4000,
210100244,1749,
210100245,1749,
210100246,1749,
210100247,1749,
210100248,1749,
210100249,1749,
210100250,4445,
210100251,1749,
210100252,1749,
210100253,1749,
210100255,4580,
210100256,1749,
210100257,1749,
210100258,4445,
210100259,4445,
210100260,1749,
210100261,4200,
210100262,4590,
210100264,4405,
210100265,4400,
210100266,4000,
210100267,4510,
210100268,3810,
210100269,4490,
210100270,4490,
210100271,4490,
210100272,4445,
210100273,1749,
210100274,4470,
210100275,4150,
210100276,4480,
210100277,4050,
210100278,4440,
210100279,4440,
210100280,1749,
210100282,4400,
210100283,4470,
210100284,4490,
210100285,4405,
210100286,4100,
210100287,4150,
210100288,4450,
210100289,4400,
210100290,4150,
210100291,4050,
210100292,4100,
210100293,4000,
210100294,4800,
210100295,4445,
210100296,4450,
210100297,4445,
210100298,4475,
210100299,4150,
210100300,4420,
210100301,4420,
210100302,4050,
210100303,4405,
210100304,4150,
210100305,5100,
210100306,4480,
210100307,4100,
210100308,1800,
210100309,1800,
210100310,4000,
210100311,4420,
210100312,4740,
210100313,4100,
210100315,4455,
210100316,4200,
210100317,4400,
210100318,4445,
210100320,4490,
210100321,4490,
210100322,4490,
210100323,4490,
210100324,4490,
210100325,4100,
210100326,4000,
210100327,4460,
210100328,4350,
210100329,4450,
210100330,4150,
210100331,4200,
210100332,4405,
210100333,4100,
210100334,4460,
210100338,4300,
210100339,4520,
210100342,4520,
210100343,4050,
210100344,4050,
210100345,4050,
210100346,4470,
210100347,4200,
210100348,4400,
210100350,4480,
210100351,1070,
210100352,4405,
210100353,4000,
210100354,4000,
210100355,4450,
210100356,4515,
210100357,4100,
210100358,4000,
210100359,4445,
210100360,4445,
210100361,4465,
210100363,4000,
210100364,4404,
210100365,4455,
210100366,4450,
210100367,4400,
210100368,4435,
210100370,4490,
210100371,4480,
210100372,4490,
210100373,4515,
210100375,1749,
210100376,4810,
210100377,4460,
210100378,4400,
210100379,4400,
210100380,4520,
210100381,4465,
210100382,4050,
210100383,4485,
210100384,4515,
210100385,4445,
210100386,4445,
210100387,4100,
210100388,4000,
210100389,4420,
210100390,4200,
210100391,4350,
210100392,4350,
210100393,4250,
210100394,4150,
210100395,4150,
210100396,4150,
210100397,4300,
210100398,4100,
210100399,4300,
210100400,4150,
210100401,3000,
210100402,4405,
210100403,4405,
210100404,4150,
210100405,4250,
210100406,4200,
210100408,4200,
210100409,4435,
210100411,4150,
210100412,4149,
210100413,4149,
210100414,4050,
210100415,4515,
210100416,4460,
210100417,4405,
210100418,4450,
210100419,4250,
210100420,4300,
210100421,3350,
210100422,4470,
210100423,4000,
210100425,4520,
210100426,4440,
210100427,4440,
210100428,4440,
210100429,4440,
210100430,4445,
210100431,4150,
210100432,4000,
210100433,4455,
210100434,4100,
210100435,4445,
210100436,4405,
210100437,1800,
210100439,2665,
210100440,1749,
210100441,4250,
210100442,4150,
210100443,4000,
210100444,4470,
210100445,4000,
210100446,4470,
210100447,4050,
210100448,4250,
210100449,4460,
210100450,4400,
210100451,4400,
210100452,4400,
210100453,4400,
210100456,4405,
210100457,4450,
210100459,4740,
210100461,4435,
210100462,4405,
210100463,4405,
210100464,4000,
210100465,4430,
210100466,4400,
210100467,4400,
210100468,4100,
210100470,4430,
210100471,4400,
210100472,4430,
210100473,4400,
210100475,4150,
210100476,4150,
210100478,4450,
210100479,4450,
210100480,4430,
210100481,4050,
210100482,4400,
210100483,4445,
210100484,4150,
210100485,4405,
210100486,4450,
210100487,4475,
210100488,4050,
210100490,4435,
210100491,4200,
210100492,4050,
210100493,4050,
210100494,4050,
210100495,4000,
210100496,4350,
210100498,4000,
210100499,4350,
210100501,4430,
210100502,4470,
210100503,4460,
210100504,9504,
210100506,4435,
210100507,4435,
210100508,1749,
210100509,4405,
210100510,4405,
210100511,4405,
210100512,4410,
210100513,4400,
210100514,4405,
210100516,4200,
210100517,4300,
210100518,4000,
210100519,4420,
210100520,4430,
210100521,4450,
210100522,4400,Restaurante - Churrasqueira
210100523,4400,
210100524,1749,
210100525,1749,
210100526,4050,
210100527,4535,
210100528,4400,
210100529,4535,
210100530,4536,
210100531,4400,
210100532,4760,
210100533,2855,
210100534,3080,
210100535,4536,
210100536,4535,
210100537,4536,
210100538,4536,
210100539,4535,
210100540,3080,
210100541,4536,
210100542,4535,
210100543,4536,
210100544,4150,
210100546,4150,
210100547,4150,
210100548,4150,
210100549,4150,
210100550,4150,
210100551,7080,
210100552,4536,
210100553,4535,
210100554,8300,
210100555,4535,
210100556,4535,
210100557,4100,
210100558,4535,
210100559,4536,
210100560,4485,
210100561,4536,
210100562,4536,
210100563,4536,
210100564,3080,
210100565,4050,
210100566,5085,
210100567,4535,
210100568,4536,
210100569,1250,
210100570,4535,
210100571,4536,
210100572,4536,
210100573,4536,
210100574,4536,
210100575,4100,
210100576,4100,
210100577,4535,
210100578,4535,
210100579,4536,
210100580,4535,
210100581,4000,
210100582,4000,
210100583,4000,
210100584,4000,
210100585,4536,
210100586,4535,
210100587,7230,
210100588,4825,
210100589,1600,
210100590,1600,
210100591,1600,
210100592,4450,
210100593,4425,
210100596,4470,
210100597,1070,
210100598,2780,
210100599,2914,
210100600,7000,
210100601,8000,
210100602,1000,
210100603,1070,
210100604,1250,
210100605,1099,
210100606,2900,
210100607,1269,
210100608,8400,
210100609,1099,
210100610,4490,
210100611,4400,
210100612,4400,
210100613,4520,
210100614,4810,
210100615,3000,
210100616,3080,
210100617,3080,
210100618,2400,
210100619,5300,
210100620,3800,
210100621,3510,
210100622,4700,Hotelaria
210100623,4445,
210100624,4425,
210100625,4200,
210100626,3080,
210100627,4420,
210100628,4420,
210100629,4435,
210100630,4435,
210100631,4435,
210100632,4445,
210100633,4425,
210100634,4400,
210100635,4150,
210100636,4470,Restaurante - Churrasqueira
210100637,4450,
210100638,4400,
210100639,1749,
210100640,1749,
210100641,1749,
210100642,1749,
210100643,1749,
210100644,1749,
210100645,4445,
210100646,4425,
210100647,4425,
210100648,4425,
210100649,4445,
210100650,4445,
210100651,4300,
210100652,4400,
210100653,4150,
210100654,4445,
210100655,4445,
210100656,4445,
210100657,4445,
210100659,4300,
210100661,4425,
210100662,4150,
210100663,4460,
210100664,4445,
210100665,4510,
210100666,4420,
210100667,4400,
210100668,4405,
210100669,4405,
210100670,4400,
210100671,4400,
210100672,4400,
210100676,4250,
210100677,4050,
210100678,4150,
210100679,4150,
210100680,4445,
210100681,4100,
210100682,4100,
210100683,4100,
210100684,4100,
210100685,4250,
210100686,4445,
210100687,4445,
210100688,4460,
210100689,4440,
210100690,4445,
210100691,4485,
210100692,4510,
210100693,4435,
210100694,4150,
210100695,4470,
210100699,4050,
210100700,4425,
210100702,4470,
210100703,4410,
210100704,4780,
210100705,4430,
210100706,4250,
210100709,4400,
210100710,4535,
210100711,4415,
210100713,4470,
210100714,4780,
210100715,4405,
210100716,4470,
210100717,4760,
210100718,4100,
210100719,4470,
210100721,4430,
210100722,4050,
210100723,4420,
210100724,4000,
210100725,4000,
210100726,4150,
210100728,4435,
210100729,4575,
210100730,4575,
210100731,4520,
210100732,4460,
210100733,4445,
210100734,4440,
210100735,4465,
210100736,4000,
210100737,4445,
210100739,2700,
210100740,2700,
210100741,4150,
210100743,4000,
210100746,1800,
210100749,4100,
210100750,4430,
210100751,4050,
210100752,4440,
210100753,4470,Coletiva/Instituição/Cantina
210100754,2765,
210100755,2765,
210100756,2765,
210100757,4100,
210100758,1000,
210100759,1000,
210100760,2765,
210100761,1000,
210100762,1000,
210100763,4200,
210100764,3800,
210100765,4050,
210100766,4150,
210100767,4150,
210100768,4400,
210100769,4400,
210100770,4400,
210100771,4405,
210100772,4450,
210100773,4420,
210100774,4400,
210100775,4400,
210100777,4400,
210100778,4150,
210100779,4470,
210100780,4000,
210100781,4475,
210100782,4100,
210100783,4400,
210100784,2900,
210100785,4150,
210100786,4475,
210100787,4785,
210100788,4500,
210100789,4400,
210100790,4400,
210100791,4049,
210100792,4450,
210100793,4470,
210100794,4000,
210100795,4470,
210100796,4435,
210100797,4470,
210100798,4445,
210100799,4425,
210100800,4450,
210100801,4490,
210100802,4430,
210100803,1200,
210100805,4400,
210100806,4350,
210100807,4405,
210100808,4465,
210100809,4050,
210100810,4405,
210100811,4470,
210100813,4500,
210100814,4445,
210100815,1000,
210100816,2799,
210100817,3810,
210100818,1000,
210100819,1000,
210100820,1000,
210100821,1000,
210100822,1000,
210100823,1000,
210100824,1000,
210100825,1000,
210100826,1000,
210100827,1000,
210100828,1000,
210100829,1000,
210100830,1000,
210100831,1000,
210100832,4490,
210100833,1800,
210100834,4050,
210100835,4350,
210100836,4350,
210100837,4435,
210100838,4300,
210100840,4435,
210100841,4435,
210100842,4435,
210100843,1000,
210100844,4435,
210100845,4435,
210100846,4435,
210100847,4435,
210100849,4435,
210100850,3050,
210100851,4715,
210100853,4470,
210100854,4435,
210100855,4435,
210100856,4150,
210100857,4445,
210100858,4400,
210100859,4785,
210100860,4590,
210100862,4440,
210100863,4200,
210100864,4150,
210100865,4050,
210100866,4050,
210100867,4150,
210100868,4410,
210100869,4425,
210100870,3885,
210100871,4490,
210100873,4430,
210100874,4050,
210100875,4150,
210100876,4050,
210100878,4150,
210100880,2765,
210100881,4470,
210100882,4425,
210100883,4400,
210100884,2950,
210100885,4450,
210100886,4445,
210100887,4590,
210100889,4000,
210100890,2400,
210100891,4100,
210100892,4470,
210100894,4100,
210100895,4470,
210100896,4510,
210100897,4445,
210100898,4405,
210100899,4450,
210100900,4536,
210100901,1990,
210100902,1250,
210100903,1990,
210100905,4535,
210100906,4536,
210100907,9050,
210100908,4536,
210100909,4536,
210100910,3080,
210100911,4400,
210100912,4400,
210100913,4100,
210100914,4536,
210100915,4535,
210100917,1600,
210100918,1600,
210100919,1600,
210100920,1600,
210100921,4475,
210100922,4535,
210100923,4450,
210100924,4470,
210100925,4400,
210100926,4350,
210100927,4050,
210100929,4590,
210100930,4400,Hotelaria
210100931,4000,
210100932,4350,
210100933,4425,
210100934,4465,
210100935,4435,
210100936,4575,
210100937,4100,
210100938,4430,
210100940,4405,
210100941,4405,
210100942,4455,
210100943,4455,
210100944,4455,
210100945,4405,
210100946,4415,
210100947,4400,
210100948,4470,
210100949,4300,Restaurante - Cozinha Portuguesa
210100950,3840,
210100951,4050,
210100952,4400,
210100953,4470,
210100954,4415,
210100955,4405,
210100956,4169,
210100957,4745,
210100958,4000,
210100959,4465,
210100960,4150,
210100961,4200,
210100962,4200,
210100963,4200,
210100964,4425,
210100965,4150,
210100966,4460,
210100967,4400,
210100968,4400,
210100969,4465,
210100971,4440,
210100972,4435,
210100973,4520,
210100974,4200,
210100975,4445,
210100976,4405,
210100977,4495,
210100978,4435,
210100979,4405,
210100980,4585,
210100981,4500,
210100982,1800,
210100983,4150,
210100984,4100,
210100985,4100,
210100986,4525,
210100987,3700,
210100988,4535,
210100989,4430,
210100990,3700,
210100991,4505,
210100992,4535,
210100993,4520,
210100994,4450,
210100995,4100,
210100996,4400,
210100997,4200,
210100998,4200,
210101000,4430,
210101001,4536,
210101002,4520,
210101003,4400,
210101004,4440,
210101005,1050,
210101006,4450,
210101008,4400,
210101009,4430,
210101010,4445,
210101011,4520,
210101012,4420,
210101013,4050,
210101014,4415,
210101015,4435,
210101016,4640,
210101018,4470,
210101019,1350,
210101020,4520,
210101021,2840,
210101022,4520,
210101023,4300,
210101024,1050,
210101025,4450,
210101026,4400,
210101027,4470,
210101028,4785,
210101029,4785,
210101030,4430,Restaurante - Cozinha Portuguesa
210101031,4490,
210101032,4460,
210101033,2745,
210101034,4470,
210101035,4150,
210101036,4460,
210101037,4150,
210101038,4200,
210101039,4415,
210101040,4405,
210101042,4450,
210101043,4400,
210101044,4100,
210101045,4470,
210101046,3885,
210101047,4470,
210101048,4349,
210101049,1350,
210101050,4450,
210101051,4485,
210101052,4490,
210101053,4405,
210101054,4405,
210101055,4460,
210101056,4100,
210101058,4420,
210101059,4585,
210101060,4150,
210101061,3460,
210101062,4475,
210101063,4585,
210101064,1950,
210101065,3100,
210101066,4450,
210101067,4510,
210101068,4420,
210101069,4415,
210101070,4420,
210101071,3830,
210101072,4435,
210101073,4470,
210101074,4000,
210101075,4420,
210101076,4505,
210101078,4405,
210101079,4435,
210101080,4585,
210101081,4510,
210101082,4420,
210101083,4445,
210101084,4445,
210101085,4515,
210101086,4099,
210101087,4420,
210101088,4435,
210101089,4515,
210101090,4510,
210101091,4420,
210101092,4435,
210101093,4435,
210101094,4510,
210101095,4595,
210101096,4440,
210101097,4590,
210101098,4580,
210101099,4580,
210101100,4440,
210101101,4470,
210101102,1050,
210101103,4199,
210101104,4199,
210101105,4199,
210101106,4199,
210101107,4199,
210101108,4199,
210101109,4199,
210101110,4199,
210101111,4199,
210101112,4199,
210101113,4199,
210101114,4199,
210101115,4199,
210101116,4585,
210101117,4445,
210101118,4050,
210101119,4485,
210101120,4485,
210101121,4416,
210101122,1099,
210101123,2900,
210101124,4490,
210101125,4450,
210101126,4405,
210101127,4000,
210101128,1349,
210101129,4000,
210101130,7080,
210101131,8300,
210101132,1990,
210101133,4536,
210101134,4536,
210101135,4536,
210101136,4536,
210101137,4536,
210101138,4536,
210101139,4536,
210101140,4536,
210101141,4536,
210101142,4536,
210101143,4536,
210101144,4445,
210101145,4490,
210101147,4405,
210101148,4100,
210101150,4100,
210101151,1250,
210101152,4410,
210101153,4520,
210101154,4435,
210101155,4350,
210101156,4199,
210101157,4535,
210101158,4520,
210101159,4400,
210101160,4000,
210101162,3050,
210101163,4150,
210101164,4500,
210101165,4000,
210101166,4100,
210101167,4500,
210101168,4150,
210101169,4420,
210101170,3810,
210101171,3810,
210101172,3810,
210101173,3810,
210101174,3810,
210101175,2790,
210101176,4405,
210101177,4100,
210101178,4450,
210101179,4425,
210101180,4400,
210101181,4475,
210101182,4450,
210101183,4535,
210101184,4480,
210101185,4535,
210101186,4400,
210101187,4400,
210101188,4400,
210101189,4440,
210101190,4470,
210101191,4430,
210101192,4450,
210101193,4000,
210101194,4100,
210101195,4470,
210101196,4100,
210101197,4470,
210101198,4430,
210101199,4450,
210101200,4455,
210101201,4150,
210101202,4760,
210101203,4450,
210101204,4450,
210101205,4535,
210101206,4535,
210101207,4410,
210101208,4400,
210101209,4400,
210101210,4470,
210101211,4470,
210101212,4450,
210101213,4465,
210101215,4465,Catering
210101216,4430,
210101217,4815,
210101218,4050,
210101220,4050,
210101221,4050,
210101222,4100,
210101224,4350,
210101225,4570,
210101226,4445,
210101227,4450,
210101228,4250,
210101229,4455,
210101230,4050,
210101231,4300,
210101232,4350,
210101233,4350,
210101234,4350,
210101235,4350,
210101236,4430,
210101237,4350,
210101238,4410,
210101239,3810,
210101240,3810,
210101241,3810,
210101242,4350,
210101243,4350,
210101244,4000,
210101245,4200,
210101246,4200,
210101247,4450,
210101248,4100,
210101249,4465,
210101250,4450,
210101251,4250,
210101252,4050,
210101253,4000,
210101254,4150,
210101255,4450,
210101256,4050,
210101258,4450,
210101259,4470,
210101260,4400,
210101261,4405,
210101262,4745,
210101263,4475,
210101264,4450,
210101265,4450,
210101266,4460,
210101267,4520,
210101268,4400,
210101269,4350,
210101270,4425,
210101271,4410,
210101272,4150,
210101273,4400,
210101275,4450,
210101276,4415,
210101277,4000,
210101278,4100,
210101279,3885,
210101280,4050,
210101281,4050,
210101282,4560,
210101283,4200,
210101284,4450,
210101286,4455,
210101287,4430,
210101288,4400,
210101289,4000,
210101291,4510,
210101292,4250,
210101293,4535,
210101294,4460,
210101295,4490,
210101296,4460,
210101297,4470,
210101298,4510,
210101299,4450,
210101300,4500,
210101301,4000,
210101302,4100,
210101303,4450,
210101304,4100,
210101305,4470,
210101307,4495,
210101308,4435,
210101309,4100,
210101310,4000,
210101311,4050,
210101312,4250,
210101313,3880,
210101314,4100,
210101315,4150,
210101316,4515,
210101317,3830,
210101318,4450,
210101319,4050,
210101321,4420,
210101322,4450,
210101323,4405,
210101324,4470,
210101325,4470,
210101326,4050,
210101327,4440,
210101328,4470,
210101329,4420,
210101330,4420,
210101331,4350,
210101332,4450,
210101334,4510,
210101335,4510,
210101336,4420,
210101337,4450,
210101338,4435,
210101339,4420,
210101340,4435,
210101341,4515,
210101343,4435,
210101344,4465,
210101345,4000,
210101347,4430,
210101348,4470,
210101349,4050,
210101350,4515,
210101351,4515,
210101352,4740,
210101353,4480,
210101354,4430,
210101355,4510,
210101356,4450,
210101357,4785,
210101358,3720,
210101359,4100,
210101360,4050,
210101361,4500,
210101362,4050,
210101363,4410,
210101364,4500,
210101365,1249,
210101366,4000,
210101367,4650,
210101368,4050,
210101369,4410,
210101370,4405,
210101371,4100,
210101372,4760,
210101373,4536,
210101374,4536,
210101375,1990,
210101376,1990,
210101377,1990,
210101378,4400,
210101379,4000,
210101380,4000,
210101381,4000,
210101382,4535,
210101383,5085,
210101384,7300,
210101385,4400,
210101386,4400,
210101387,4440,
210101389,4410,
210101390,1495,
210101391,4536,
210101392,4535,
210101393,4200,
210101394,2795,
210101396,4000,
210101397,4420,
210101398,4435,
210101399,4745,
210101400,4200,
210101401,4450,
210101402,4470,
210101403,4300,
210101404,4100,
210101405,4050,
210101406,4000,
